frame.number,frame.time_epoch,frame.len,frame.protocols,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,ip.proto,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.flags.push,tcp.flags.urg,tcp.window_size,tcp.hdr_len,tcp.len,tcp.urgent_pointer,tcp.analysis.retransmission,tcp.analysis.bytes_in_flight,tcp.analysis.initial_rtt,tcp.checksum.status,tcp.options.mss_val,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr,tcp.payload
"1","1746968886.416541000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53140","8888","0","0","True","False","False","False","False","False","65495","40","0","0",,,,"2","65495","2225885418","0",
"2","1746968886.416561000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53140","0","1","True","True","False","False","False","False","65483","40","0","0",,,,"2","65495","2225885418","2225885418",
"3","1746968886.416576000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53140","8888","1","1","False","True","False","False","False","False","65536","32","0","0",,,"0.000035000","2",,"2225885418","2225885418",
"4","1746968886.417002000","87","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53140","8888","1","1","False","True","False","False","True","False","65536","32","21","0",,"21","0.000035000","2",,"2225885418","2225885418","474554202f3f3134383820485454502f312e310d0a"
"5","1746968886.417008000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53140","1","22","False","True","False","False","False","False","65536","32","0","0",,,"0.000035000","2",,"2225885418","2225885418",
"6","1746968886.417018000","201","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53140","8888","22","1","False","True","False","False","True","False","65536","32","135","0",,"135","0.000035000","2",,"2225885418","2225885418","557365722d4167656e743a204d6f7a696c6c612f352e3020284d6163696e746f73683b20496e74656c204d6163204f5320582031305f31315f3629204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35332e302e323738352e313433205361666172692f3533372e33360d0a"
"7","1746968886.417020000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53140","1","157","False","True","False","False","False","False","65408","32","0","0",,,"0.000035000","2",,"2225885418","2225885418",
"8","1746968886.417026000","99","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53140","8888","157","1","False","True","False","False","True","False","65536","32","33","0",,"33","0.000035000","2",,"2225885418","2225885418","4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a"
"9","1746968886.417027000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53140","1","190","False","True","False","False","False","False","65408","32","0","0",,,"0.000035000","2",,"2225885418","2225885418",
"10","1746968886.417168000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53150","8888","0","0","True","False","False","False","False","False","65495","40","0","0",,,,"2","65495","2225885418","0",
"11","1746968886.417176000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53150","0","1","True","True","False","False","False","False","65483","40","0","0",,,,"2","65495","2225885419","2225885418",
"12","1746968886.417184000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53150","8888","1","1","False","True","False","False","False","False","65536","32","0","0",,,"0.000016000","2",,"2225885419","2225885419",
"13","1746968886.417211000","87","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53150","8888","1","1","False","True","False","False","True","False","65536","32","21","0",,"21","0.000016000","2",,"2225885419","2225885419","474554202f3f3133393420485454502f312e310d0a"
"14","1746968886.417237000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53150","1","22","False","True","False","False","False","False","65536","32","0","0",,,"0.000016000","2",,"2225885419","2225885419",
"15","1746968886.417246000","201","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53150","8888","22","1","False","True","False","False","True","False","65536","32","135","0",,"135","0.000016000","2",,"2225885419","2225885419","557365722d4167656e743a204d6f7a696c6c612f352e3020284d6163696e746f73683b20496e74656c204d6163204f5320582031305f31315f3629204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35332e302e323738352e313433205361666172692f3533372e33360d0a"
"16","1746968886.417248000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53150","1","157","False","True","False","False","False","False","65408","32","0","0",,,"0.000016000","2",,"2225885419","2225885419",
"17","1746968886.417253000","99","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53150","8888","157","1","False","True","False","False","True","False","65536","32","33","0",,"33","0.000016000","2",,"2225885419","2225885419","4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a"
"18","1746968886.417254000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53150","1","190","False","True","False","False","False","False","65408","32","0","0",,,"0.000016000","2",,"2225885419","2225885419",
"19","1746968886.417353000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53164","8888","0","0","True","False","False","False","False","False","65495","40","0","0",,,,"2","65495","2225885419","0",
"20","1746968886.417359000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53164","0","1","True","True","False","False","False","False","65483","40","0","0",,,,"2","65495","2225885419","2225885419",
"21","1746968886.417364000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53164","8888","1","1","False","True","False","False","False","False","65536","32","0","0",,,"0.000011000","2",,"2225885419","2225885419",
"22","1746968886.417380000","87","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53164","8888","1","1","False","True","False","False","True","False","65536","32","21","0",,"21","0.000011000","2",,"2225885419","2225885419","474554202f3f3139353420485454502f312e310d0a"
"23","1746968886.417382000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53164","1","22","False","True","False","False","False","False","65536","32","0","0",,,"0.000011000","2",,"2225885419","2225885419",
"24","1746968886.417389000","201","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53164","8888","22","1","False","True","False","False","True","False","65536","32","135","0",,"135","0.000011000","2",,"2225885419","2225885419","557365722d4167656e743a204d6f7a696c6c612f352e3020284d6163696e746f73683b20496e74656c204d6163204f5320582031305f31315f3629204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35332e302e323738352e313433205361666172692f3533372e33360d0a"
"25","1746968886.417390000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53164","1","157","False","True","False","False","False","False","65408","32","0","0",,,"0.000011000","2",,"2225885419","2225885419",
"26","1746968886.417395000","99","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53164","8888","157","1","False","True","False","False","True","False","65536","32","33","0",,"33","0.000011000","2",,"2225885419","2225885419","4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a"
"27","1746968886.417396000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53164","1","190","False","True","False","False","False","False","65408","32","0","0",,,"0.000011000","2",,"2225885419","2225885419",
"28","1746968886.417454000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53174","8888","0","0","True","False","False","False","False","False","65495","40","0","0",,,,"2","65495","2225885419","0",
"29","1746968886.417459000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53174","0","1","True","True","False","False","False","False","65483","40","0","0",,,,"2","65495","2225885419","2225885419",
"30","1746968886.417463000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53174","8888","1","1","False","True","False","False","False","False","65536","32","0","0",,,"0.000009000","2",,"2225885419","2225885419",
"31","1746968886.417476000","87","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53174","8888","1","1","False","True","False","False","True","False","65536","32","21","0",,"21","0.000009000","2",,"2225885419","2225885419","474554202f3f3137393020485454502f312e310d0a"
"32","1746968886.417479000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53174","1","22","False","True","False","False","False","False","65536","32","0","0",,,"0.000009000","2",,"2225885419","2225885419",
"33","1746968886.417485000","201","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53174","8888","22","1","False","True","False","False","True","False","65536","32","135","0",,"135","0.000009000","2",,"2225885419","2225885419","557365722d4167656e743a204d6f7a696c6c612f352e3020284d6163696e746f73683b20496e74656c204d6163204f5320582031305f31315f3629204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35332e302e323738352e313433205361666172692f3533372e33360d0a"
"34","1746968886.417487000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53174","1","157","False","True","False","False","False","False","65408","32","0","0",,,"0.000009000","2",,"2225885419","2225885419",
"35","1746968886.417492000","99","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53174","8888","157","1","False","True","False","False","True","False","65536","32","33","0",,"33","0.000009000","2",,"2225885419","2225885419","4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a"
"36","1746968886.417493000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53174","1","190","False","True","False","False","False","False","65408","32","0","0",,,"0.000009000","2",,"2225885419","2225885419",
"37","1746968886.417628000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53190","8888","0","0","True","False","False","False","False","False","65495","40","0","0",,,,"2","65495","2225885419","0",
"38","1746968886.417634000","74","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53190","0","1","True","True","False","False","False","False","65483","40","0","0",,,,"2","65495","2225885419","2225885419",
"39","1746968886.417662000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53190","8888","1","1","False","True","False","False","False","False","65536","32","0","0",,,"0.000034000","2",,"2225885419","2225885419",
"40","1746968886.417683000","87","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","53190","8888","1","1","False","True","False","False","True","False","65536","32","21","0",,"21","0.000034000","2",,"2225885419","2225885419","474554202f3f3137353920485454502f312e310d0a"
"41","1746968886.417686000","66","eth:ethertype:ip:tcp","00:00:00:00:00:00","00:00:00:00:00:00","127.0.0.1","127.0.0.1","64","6","8888","53190","1","22","False","True","False","False","False","False","65536","32","0","0",,,"0.000034000","2",,"2225885419","2225885419",
